business_status,name,user_ratings_total,rating,vicinity,lat,lng,types,place_id,phone_number
OPERATIONAL,Bar e Restaurante Tabuleiro da Baiana,1.0,3.0,"Avenida Engenheiro Roberto Freire, 774 - Ponta Negra, Natal",-5.876616699999999,-35.1775849,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",ChIJJdK3kyz_sgcRfnNrzMupeRM,
OPERATIONAL,Old Five Natal,2675.0,4.4,"Rua Erivan França, 229 - Ponta Negra, Natal",-5.8840862,-35.1655301,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJhTyErS75sgcR4K5SrWhJvTw,
OPERATIONAL,Querubinaz,539.0,4.5,"Rua Erivan França, 1000 - Ponta Negra, Natal",-5.878763,-35.1739067,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJLzaWitX4sgcRj4DMjB_kA_Y,
OPERATIONAL,Taverna Pub Medieval Bar & Avalon Events,1724.0,4.5,"Rua Doutor Manoel Augusto Bezerra de Araújo, 500 - Ponta Negra, Natal",-5.880599999999999,-35.1761,"['restaurant', 'night_club', 'bar', 'food', 'point_of_interest', 'establishment']",ChIJ_aHh-XoAswcRN6Xwp5r0PUg,
CLOSED_TEMPORARILY,Quiosque Sete,,,Brazil,-5.878915,-35.17371350000001,"['bar', 'point_of_interest', 'establishment']",ChIJTRJGItX4sgcRmoXRxHRVTMY,
OPERATIONAL,Pizzarja And Stuffed Potatoes - Curva Do Vento,2809.0,4.5,"Rua Doutor Manoel Augusto Bezerra de Araújo, 396 - Ponta Negra, Natal",-5.882001300000001,-35.17766079999999,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJFSrn59P4sgcRTxEqcvV6Xds,
OPERATIONAL,Rastapé House of Forro,987.0,4.4,"Rua Aristídes Porpino Filho, 2198 - Ponta Negra, Natal",-5.881315000000001,-35.176008,"['bar', 'point_of_interest', 'establishment']",ChIJdTIeWNH4sgcRCuNhFT5nl6U,
CLOSED_TEMPORARILY,Barraca de praia,,,"Boa vista - Ponta Negra, Natal",-5.885525700000001,-35.1706807,"['bar', 'point_of_interest', 'establishment']",ChIJ3Xn5sxb5sgcR699x8JEzmeE,
OPERATIONAL,Hair Jc Stylist,2.0,5.0,"Rua Vereador Manoel Coringa de Lemos, 188 - Vila de Ponta Negra, Natal",-5.8843038,-35.1719587,"['night_club', 'bar', 'point_of_interest', 'establishment']",ChIJ_bDZLEX5sgcRQgmzqIw3TiE,
OPERATIONAL,Da Praia Bar,12.0,4.8,"Rua Erivan França, 35 - Vila de Ponta Negra, Natal",-5.882950399999999,-35.16972429999999,"['bar', 'point_of_interest', 'establishment']",ChIJU_905xj5sgcRo9YacTxu5PA,
OPERATIONAL,Barraca da china,1.0,5.0,"Rua Erivan França, 34 - Vila de Ponta Negra, Natal",-5.882884300000001,-35.16980339999999,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJaRlAGNv5sgcRCkra0aCycD0,
OPERATIONAL,BOTECO DO GARRINCHA,,,"Rua Nossa Senhora Dos Navegantes, 5 - Vila de Ponta Negra, Natal",-5.885314000000001,-35.17206759999999,"['bar', 'point_of_interest', 'establishment']",ChIJufCsy9f4sgcRVDeiFDoR5yI,
CLOSED_TEMPORARILY,Tôoh de Boa Beach Drinks e Beer,1.0,5.0,"Rua Erivan França - Vila de Ponta Negra, Natal",-5.8825274,-35.17059990000001,"['bar', 'point_of_interest', 'establishment']",ChIJvYTqw_T5sgcRjh6zGSplQwE,
OPERATIONAL,Buteco.41,8.0,4.9,"Rua Erivan França - Vila de Ponta Negra, Natal",-5.8834959,-35.1687764,"['bar', 'point_of_interest', 'establishment']",ChIJA2zqkgn5sgcR_m34U-Mtnus,
OPERATIONAL,Bar Da Lona,512.0,4.6,"86, Rua João Rufino, 2 - Vila de Ponta Negra, Natal",-5.886100099999999,-35.1695193,"['bar', 'point_of_interest', 'establishment']",ChIJEctiSCj5sgcRPmaQoATctaQ,
OPERATIONAL,Espaço Tully Cavalcante,,,"Rua João Rufino, 197 - Ponta Negra, Natal",-5.8865888,-35.1698862,"['night_club', 'bar', 'point_of_interest', 'establishment']",ChIJ0_0PDOL5sgcR8qr6VfXvm5o,
OPERATIONAL,Varanda Beach bar e restaurante,336.0,3.9,"Rua Erivan França, 31 - Ponta Negra, Natal",-5.882066900000001,-35.1707468,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",ChIJszZMCir5sgcRic3J3rWTk9w,
CLOSED_TEMPORARILY,Barril Praia Chopp,1.0,4.0,"Rua Erivan França, 13C - Ponta Negra, Natal",-5.882011499999999,-35.17079750000001,"['bar', 'point_of_interest', 'establishment']",ChIJc5LAJqH5sgcRcTK18ag44sw,
OPERATIONAL,Quiosque 6,2.0,2.0,"Avenida Engenheiro Roberto Freire, 5455 - Ponta Negra, Natal",-5.882013699999999,-35.1713026,"['bar', 'point_of_interest', 'establishment']",ChIJs4GajT35sgcRurnemT2D7sk,
